date,datetime,source,headline,summary,url,relevance_score
2026-02-27,2026-02-27 17:33:43,Ibtimes.com.au,"Applied Optoelectronics Stock Explodes 45% on Stellar Q4 Earnings Beat, Bullish AI-Driven Guidance","Shares of Applied Optoelectronics Inc. (NASDAQ: AAOI) surged as much as 45% on February 27, 2026, reaching new 52-week highs above $79 in intraday trading, after the optical networking company reported stronger-than-expected fourth-quarter results and issued …",https://www.ibtimes.com.au/applied-optoelectronics-stock-explodes-45-stellar-q4-earnings-beat-bullish-ai-driven-guidance-1862318,5
2026-02-27,2026-02-27 17:33:04,Slashdot.org,"Takeaways from Hillary Clinton's deposition. And, Paramount outbids for Warner Bros. - NPR","Takeaways from Hillary Clinton's deposition. And, Paramount outbids for Warner Bros.NPR Live updates: Hillary Clinton testifies in Epstein investigationCNN 5 things to know for Feb. 27: Clinton depositions, Iran tensions, Anthropic, Stock market, FEMA disaste…",https://slashdot.org/firehose.pl?op=view&amp;id=180868634,2
2026-02-27,2026-02-27 17:32:07,Yahoo Entertainment,Why Compass and Rocket say their partnership is the remedy for high home prices,The nation’s largest brokerage and its biggest mortgage lender are joining forces to fix the ailing housing market.,https://finance.yahoo.com/news/why-compass-and-rocket-say-their-partnership-is-the-remedy-for-high-home-prices-173207617.html,1
2026-02-27,2026-02-27 17:30:23,Morningstar.com,Novo Nordisk Shares Fall After Latest CagriSema Obesity Drug Trial Results — Update,Novo Nordisk Shares Fall After Latest CagriSema Obesity Drug Trial Results — Updatemorningstar.com,https://www.morningstar.com/news/dow-jones/202503104821/novo-nordisk-shares-fall-after-latest-cagrisema-obesity-drug-trial-results-update,1
2026-02-27,2026-02-27 17:30:00,Motley Fool Australia,Coles or Woolworths shares: Which is the better dividend stock for 2026?,Coles and Woolies both announced new dividends this week. The post Coles or Woolworths shares: Which is the better dividend stock for 2026? appeared first on The Motley Fool Australia.,https://www.fool.com.au/2026/02/28/coles-or-woolworths-shares-which-is-the-better-dividend-stock-for-2026/,3
2026-02-27,2026-02-27 17:30:00,OilPrice.com,Gulf Oil Producers Open the Taps as Iran Risk Premium Builds,"As U.S.-Iran tensions climb and talk of a potential strike refuses to fade, the UAE and Saudi Arabia are already behaving as if an oil supply disruption is a matter of when, not if. If they move more crude now, there is a chance there will be calm markets lat…",https://oilprice.com/Latest-Energy-News/World-News/Gulf-Oil-Producers-Open-the-Taps-as-Iran-Risk-Premium-Builds.html,1
2026-02-27,2026-02-27 17:26:50,Forbes,"The Market’s Mixed Leadership May Be Rotation, Not A Recession Signal","Mega-cap winners are getting re-priced. The money is spreading into cyclical sectors, with defensives acting more like insurance than a verdict on the economy.",https://www.forbes.com/sites/andrewgraham/2026/02/27/the-markets-mixed-leadership-may-be-rotation-not-a-recession-signal/,1
2026-02-27,2026-02-27 17:26:28,Ibtimes.com.au,GameStop Stock Holds Steady Near $24 Amid Acquisition Speculation and Strong Cash Position,"GameStop Corp. (NYSE: GME) shares traded in a narrow range around $24 in late February 2026, reflecting cautious investor sentiment following a period of volatility driven by CEO Ryan Cohen's aggressive push toward strategic acquisitions and the company's rob…",https://www.ibtimes.com.au/gamestop-stock-holds-steady-near-24-amid-acquisition-speculation-strong-cash-position-1862315,4
2026-02-27,2026-02-27 17:26:17,The Times of India,US stock market crash big losers and gainers today: Here's complete list,"The US stock market is in red today as investors react to higher-than-expected wholesale inflation of 2.9%, which lowered expectations of near-term Federal Reserve rate cuts. Technology stocks declined due to concerns over AI disruption and spending levels. R…",https://economictimes.indiatimes.com/news/international/us/us-stock-market-crash-big-losers-and-gainers-today-heres-complete-list-wall-street-global-markets-sp-500-dow-jones-nasdaq/articleshow/128860116.cms,5
2026-02-27,2026-02-27 17:24:00,The Times of India,"BTC USD price today drops to $65,000 level: Why is Bitcoin on track for its worst month since 2022 crypto crash?",Bitcoin BTC USD worst month since 2022: Bitcoin faces its steepest monthly drop since the 2022 crypto crash. This downturn follows a period of market fear and tariff concerns. Analysts suggest indicators point to a potential bottom formation. The cryptocurren…,https://economictimes.indiatimes.com/news/international/us/btc-usd-price-today-drops-to-65000-level-why-is-bitcoin-on-track-for-its-worst-month-since-2022-crypto-crash/articleshow/128860179.cms,2
